1,1,449,203,31,76,-1,-1,-1,-1
1,2,215,172,50,120,-1,-1,-1,-1
1,3,283,147,77,186,-1,-1,-1,-1
2,1,449,202,32,77,-1,-1,-1,-1
2,2,214,169,52,125,-1,-1,-1,-1
2,3,287,148,76,184,-1,-1,-1,-1
3,1,448,203,32,78,-1,-1,-1,-1
3,2,214,166,51,123,-1,-1,-1,-1
3,3,290,148,74,178,-1,-1,-1,-1
4,1,447,206,31,76,-1,-1,-1,-1
4,2,214,171,52,125,-1,-1,-1,-1
4,3,289,140,83,202,-1,-1,-1,-1
5,1,448,208,30,73,-1,-1,-1,-1
5,2,215,173,50,122,-1,-1,-1,-1
5,3,293,134,87,210,-1,-1,-1,-1
6,1,447.18,208.954,31,74,-1,-1,-1,-1
6,2,214,170.943,52,125,-1,-1,-1,-1
6,3,294.718,130.137,91,220,-1,-1,-1,-1
7,1,448.435,211.543,29,70,-1,-1,-1,-1
7,2,214,172.804,51,124,-1,-1,-1,-1
7,3,299.899,133.181,89,214,-1,-1,-1,-1
8,1,448.156,211.274,30,72,-1,-1,-1,-1
8,2,213,171.281,53,128,-1,-1,-1,-1
8,3,305.471,135.12,87,211,-1,-1,-1,-1
9,1,448.885,211.099,30,73,-1,-1,-1,-1
9,2,212.897,168.516,55,133,-1,-1,-1,-1
9,3,310.082,130.725,91,221,-1,-1,-1,-1
10,1,449.29,210.551,31,75,-1,-1,-1,-1
10,2,213.957,168.032,56,135,-1,-1,-1,-1
10,3,317.371,127.093,95,230,-1,-1,-1,-1
11,1,450.712,211.179,31,76,-1,-1,-1,-1
11,2,215.109,169.19,56,136,-1,-1,-1,-1
11,3,325.168,122.291,99,240,-1,-1,-1,-1
12,1,453.4,213.381,31,74,-1,-1,-1,-1
12,2,214.865,167.374,58,141,-1,-1,-1,-1
12,3,332.181,116.668,105,253,-1,-1,-1,-1
13,1,455.233,212.271,31,75,-1,-1,-1,-1
13,2,214.31,166.254,60,144,-1,-1,-1,-1
13,3,337.775,106.742,113,273,-1,-1,-1,-1
14,1,456.797,213.922,31,74,-1,-1,-1,-1
14,2,213.526,164.902,61,147,-1,-1,-1,-1
14,3,346.377,105.561,115,278,-1,-1,-1,-1
15,1,458.709,214.301,30,73,-1,-1,-1,-1
15,2,212.586,161.849,63,153,-1,-1,-1,-1
15,3,353.913,99.213,120,290,-1,-1,-1,-1
16,1,459.439,214.048,31,74,-1,-1,-1,-1
16,2,211.117,158.718,66,159,-1,-1,-1,-1
16,3,361.643,94.6005,125,301,-1,-1,-1,-1
17,1,465.217,219.644,26,64,-1,-1,-1,-1
17,2,207.286,152.558,71,172,-1,-1,-1,-1
17,3,368.204,86.5814,135,326,-1,-1,-1,-1
18,1,465.013,216.043,29.8,72,-1,-1,-1,-1
18,2,207.228,152.968,70,169,-1,-1,-1,-1
18,3,376.152,73.3416,146,352,-1,-1,-1,-1
19,1,466.808,216.443,29.56,71.4,-1,-1,-1,-1
19,2,204.617,150.518,72,174,-1,-1,-1,-1
19,3,387.581,64.7652,150,363,-1,-1,-1,-1
20,1,468.603,217.842,29.272,70.88,-1,-1,-1,-1
20,2,202.078,148.201,73,177,-1,-1,-1,-1
20,3,398.528,53.4382,157,379,-1,-1,-1,-1
21,2,198.778,145.997,75,182,-1,-1,-1,-1
21,3,414.192,46.6137,162,393,-1,-1,-1,-1
21,1,470.398,218.242,29.1264,70.456,-1,-1,-1,-1
22,2,195.829,143.881,77,185,-1,-1,-1,-1
22,3,434.102,62.0248,150,362.6,-1,-1,-1,-1
22,1,473.193,218.641,28.7517,69.7472,-1,-1,-1,-1
23,2,193.894,145.694,76,184,-1,-1,-1,-1
23,3,446.013,57.436,153,369.92,-1,-1,-1,-1
